2024/10/05 04:18:02 serving http on http://127.0.0.1:56741
2024/10/05 04:18:02 serving rpc on tcp://[::]:39435
2024/10/05 04:18:02 booting test machines...
2024/10/05 04:18:02 wait for the connection from test machine...
2024/10/05 04:18:13 XXX Fuzzer command: 
/syz-fuzzer -executor=/syz-executor -name=vm-1 -arch=amd64 -manager=localhost:39435 -sandbox=none -cover=true -debug=false  -optional=slowdown=1:sandbox_arg=0:pprof_port=6060
2024/10/05 04:18:22 machine check:
failed to read the following files in the VM:
/dev/raw-gadget                             : open /dev/raw-gadget: no such file or directory

BinFmtMisc              : enabled
Comparisons             : call 0 failed with errno 38
Coverage                : enabled
DelayKcovMmap           : enabled
DevlinkPCI              : PCI device 0000:00:10.0 is not available.  (errno 2: No such file or directory).
ExtraCoverage           : enabled
Fault                   : CONFIG_FAULT_INJECTION is not enabled.  (errno 2: No such file or directory).
KCSAN                   : write(/sys/kernel/debug/kcsan, on) failed.  (errno 2: No such file or directory).
LRWPANEmulation         : netlink: failed to get family id for nl802154: No such file or directory.  netlink_query_family_id failed.  (errno 2: No such file or directory).
Leak                    : failed to write(kmemleak, "scan=off").  (errno 2: No such file or directory).
NetDevices              : enabled
NetInjection            : tun: can't open /dev/net/tun.  (errno 2: No such file or directory).
NicVF                   : PCI device 0000:00:11.0 is not available.  (errno 2: No such file or directory).
SandboxAndroid          : enabled
SandboxNamespace        : enabled
SandboxSetuid           : enabled
Swap                    : enabled
USBEmulation            : failed to chmod /dev/raw-gadget.  (errno 2: No such file or directory).
VhciInjection           : socket(AF_BLUETOOTH, SOCK_RAW, BTPROTO_HCI) failed.  (errno 97: Address family not supported by protocol).
WifiEmulation           : netlink_query_family_id failed.  (errno 2: No such file or directory).
syscalls                : 2192/4499

2024/10/05 04:18:29 corpus                  : 29 (0 broken, 29 seeds)
2024/10/05 04:18:32 candidates=0 corpus=25 coverage=14169 exec total=767 (25/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 04:18:42 candidates=0 corpus=49 coverage=14753 exec total=1712 (42/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 04:18:52 candidates=0 corpus=71 coverage=14874 exec total=2530 (50/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 04:19:02 candidates=0 corpus=104 coverage=15547 exec total=3472 (57/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 04:19:10 Hit times: 0
2024/10/05 04:19:12 candidates=0 corpus=109 coverage=15566 exec total=3559 (50/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 04:19:22 candidates=0 corpus=155 coverage=16294 exec total=4837 (60/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 04:19:32 candidates=0 corpus=175 coverage=17415 exec total=6025 (66/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 04:19:42 candidates=0 corpus=203 coverage=18019 exec total=7065 (70/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 04:19:52 candidates=0 corpus=221 coverage=18145 exec total=7637 (69/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 04:20:02 candidates=0 corpus=269 coverage=18414 exec total=8960 (74/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 04:20:12 candidates=0 corpus=271 coverage=18421 exec total=9114 (70/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 04:20:12 Hit times: 0
2024/10/05 04:20:22 candidates=0 corpus=303 coverage=19041 exec total=9965 (71/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 04:20:32 candidates=0 corpus=313 coverage=19295 exec total=10539 (70/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 04:20:42 candidates=0 corpus=326 coverage=19685 exec total=10782 (67/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 04:20:52 candidates=0 corpus=327 coverage=19707 exec total=10905 (64/sec) fuzzing VMs=1 reproducing=0 
