2024/09/05 15:42:44 serving http on http://127.0.0.1:56741
2024/09/05 15:42:44 serving rpc on tcp://[::]:43713
2024/09/05 15:42:44 booting test machines...
2024/09/05 15:42:44 wait for the connection from test machine...
2024/09/05 15:42:55 XXX Fuzzer command: 
/syz-fuzzer -executor=/syz-executor -name=vm-1 -arch=amd64 -manager=localhost:43713 -sandbox=none -cover=true -debug=false  -optional=slowdown=1:sandbox_arg=0:pprof_port=6060
2024/09/05 15:43:01 machine check:
failed to read the following files in the VM:
/dev/raw-gadget                             : open /dev/raw-gadget: no such file or directory

BinFmtMisc              : enabled
Comparisons             : call 0 failed with errno 38
Coverage                : enabled
DelayKcovMmap           : enabled
DevlinkPCI              : PCI device 0000:00:10.0 is not available.  (errno 2: No such file or directory).
ExtraCoverage           : enabled
Fault                   : CONFIG_FAULT_INJECTION is not enabled.  (errno 2: No such file or directory).
KCSAN                   : write(/sys/kernel/debug/kcsan, on) failed.  (errno 2: No such file or directory).
LRWPANEmulation         : netlink: failed to get family id for nl802154: No such file or directory.  netlink_query_family_id failed.  (errno 2: No such file or directory).
Leak                    : failed to write(kmemleak, "scan=off").  (errno 2: No such file or directory).
NetDevices              : enabled
NetInjection            : tun: can't open /dev/net/tun.  (errno 2: No such file or directory).
NicVF                   : PCI device 0000:00:11.0 is not available.  (errno 2: No such file or directory).
SandboxAndroid          : enabled
SandboxNamespace        : enabled
SandboxSetuid           : enabled
Swap                    : enabled
USBEmulation            : failed to chmod /dev/raw-gadget.  (errno 2: No such file or directory).
VhciInjection           : socket(AF_BLUETOOTH, SOCK_RAW, BTPROTO_HCI) failed.  (errno 97: Address family not supported by protocol).
WifiEmulation           : netlink_query_family_id failed.  (errno 2: No such file or directory).
syscalls                : 2193/4499

2024/09/05 15:43:09 corpus                  : 29 (0 broken, 29 seeds)
2024/09/05 15:43:14 candidates=0 corpus=30 coverage=15082 exec total=939 (31/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:43:24 candidates=0 corpus=44 coverage=15381 exec total=2204 (55/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:43:34 candidates=0 corpus=51 coverage=15408 exec total=3298 (65/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:43:44 candidates=0 corpus=81 coverage=15584 exec total=4487 (74/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:43:54 candidates=0 corpus=109 coverage=15933 exec total=5272 (75/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:44:04 candidates=0 corpus=114 coverage=15974 exec total=5461 (68/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:44:14 candidates=0 corpus=113 coverage=15979 exec total=5534 (61/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:44:24 candidates=0 corpus=113 coverage=15979 exec total=5550 (55/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:44:27 Hit times: 0
2024/09/05 15:44:34 candidates=0 corpus=116 coverage=15981 exec total=5657 (51/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:44:44 candidates=0 corpus=125 coverage=16008 exec total=6136 (51/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:44:54 candidates=0 corpus=153 coverage=16215 exec total=6950 (53/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:45:04 candidates=0 corpus=201 coverage=16502 exec total=8147 (58/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:45:14 candidates=0 corpus=195 coverage=16502 exec total=8191 (54/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:45:24 candidates=0 corpus=212 coverage=17931 exec total=8851 (55/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:45:34 candidates=0 corpus=224 coverage=17980 exec total=9111 (53/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:45:44 candidates=0 corpus=233 coverage=18053 exec total=9302 (51/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:45:54 candidates=0 corpus=270 coverage=18270 exec total=9996 (52/sec) fuzzing VMs=1 reproducing=0 
2024/09/05 15:45:56 Hit times: 0
