2024/10/02 23:52:40 serving http on http://127.0.0.1:56741
2024/10/02 23:52:40 serving rpc on tcp://[::]:36265
2024/10/02 23:52:40 booting test machines...
2024/10/02 23:52:40 wait for the connection from test machine...
2024/10/02 23:52:51 XXX Fuzzer command: 
/syz-fuzzer -executor=/syz-executor -name=vm-1 -arch=amd64 -manager=localhost:36265 -sandbox=none -cover=true -debug=false  -optional=slowdown=1:sandbox_arg=0:pprof_port=6060
2024/10/02 23:53:00 machine check:
failed to read the following files in the VM:
/dev/raw-gadget                             : open /dev/raw-gadget: no such file or directory

BinFmtMisc              : enabled
Comparisons             : call 0 failed with errno 38
Coverage                : enabled
DelayKcovMmap           : enabled
DevlinkPCI              : PCI device 0000:00:10.0 is not available.  (errno 2: No such file or directory).
ExtraCoverage           : enabled
Fault                   : CONFIG_FAULT_INJECTION is not enabled.  (errno 2: No such file or directory).
KCSAN                   : write(/sys/kernel/debug/kcsan, on) failed.  (errno 2: No such file or directory).
LRWPANEmulation         : netlink: failed to get family id for nl802154: No such file or directory.  netlink_query_family_id failed.  (errno 2: No such file or directory).
Leak                    : failed to write(kmemleak, "scan=off").  (errno 2: No such file or directory).
NetDevices              : enabled
NetInjection            : tun: can't open /dev/net/tun.  (errno 2: No such file or directory).
NicVF                   : PCI device 0000:00:11.0 is not available.  (errno 2: No such file or directory).
SandboxAndroid          : enabled
SandboxNamespace        : enabled
SandboxSetuid           : enabled
Swap                    : enabled
USBEmulation            : failed to chmod /dev/raw-gadget.  (errno 2: No such file or directory).
VhciInjection           : socket(AF_BLUETOOTH, SOCK_RAW, BTPROTO_HCI) failed.  (errno 97: Address family not supported by protocol).
WifiEmulation           : netlink_query_family_id failed.  (errno 2: No such file or directory).
syscalls                : 2192/4499

2024/10/02 23:53:08 corpus                  : 29 (0 broken, 29 seeds)
2024/10/02 23:53:10 candidates=0 corpus=25 coverage=14077 exec total=757 (25/sec) fuzzing VMs=1 reproducing=0 
2024/10/02 23:53:14 update choice table with LLM
2024/10/02 23:53:14 UpdateChoiceTable using LLM comm content
2024/10/02 23:53:14 Build Choice Table with LLM
2024/10/02 23:53:20 candidates=0 corpus=60 coverage=14527 exec total=1738 (43/sec) fuzzing VMs=1 reproducing=0 
2024/10/02 23:53:23 update choice table with LLM
2024/10/02 23:53:23 UpdateChoiceTable using LLM comm content
2024/10/02 23:53:23 Build Choice Table with LLM
2024/10/02 23:53:30 candidates=0 corpus=82 coverage=14915 exec total=2799 (55/sec) fuzzing VMs=1 reproducing=0 
2024/10/02 23:53:40 candidates=0 corpus=102 coverage=15072 exec total=3655 (60/sec) fuzzing VMs=1 reproducing=0 
2024/10/02 23:53:50 candidates=0 corpus=127 coverage=15363 exec total=4157 (59/sec) fuzzing VMs=1 reproducing=0 
2024/10/02 23:53:51 Hit times: 0
2024/10/02 23:54:00 candidates=0 corpus=155 coverage=15663 exec total=4978 (62/sec) fuzzing VMs=1 reproducing=0 
2024/10/02 23:54:10 candidates=0 corpus=154 coverage=15690 exec total=5173 (57/sec) fuzzing VMs=1 reproducing=0 
2024/10/02 23:54:20 candidates=0 corpus=172 coverage=15907 exec total=5890 (58/sec) fuzzing VMs=1 reproducing=0 
2024/10/02 23:54:30 candidates=0 corpus=188 coverage=16984 exec total=6512 (59/sec) fuzzing VMs=1 reproducing=0 
2024/10/02 23:54:40 candidates=0 corpus=223 coverage=17191 exec total=7308 (60/sec) fuzzing VMs=1 reproducing=0 
2024/10/02 23:54:50 candidates=0 corpus=224 coverage=17195 exec total=7357 (56/sec) fuzzing VMs=1 reproducing=0 
2024/10/02 23:55:00 candidates=0 corpus=224 coverage=17195 exec total=7385 (52/sec) fuzzing VMs=1 reproducing=0 
2024/10/02 23:55:10 candidates=0 corpus=221 coverage=17195 exec total=7415 (49/sec) fuzzing VMs=1 reproducing=0 
