2024/10/05 19:42:29 serving http on http://127.0.0.1:56741
2024/10/05 19:42:29 serving rpc on tcp://[::]:41773
2024/10/05 19:42:29 booting test machines...
2024/10/05 19:42:29 wait for the connection from test machine...

2024/10/05 19:42:40 XXX Fuzzer command: 
/syz-fuzzer -executor=/syz-executor -name=vm-1 -arch=amd64 -manager=localhost:41773 -sandbox=none -cover=true -debug=false  -optional=slowdown=1:sandbox_arg=0:pprof_port=6060
2024/10/05 19:42:46 machine check:
failed to read the following files in the VM:
/dev/raw-gadget                             : open /dev/raw-gadget: no such file or directory

BinFmtMisc              : enabled
Comparisons             : call 0 failed with errno 38
Coverage                : enabled
DelayKcovMmap           : enabled
DevlinkPCI              : PCI device 0000:00:10.0 is not available.  (errno 2: No such file or directory).
ExtraCoverage           : enabled
Fault                   : CONFIG_FAULT_INJECTION is not enabled.  (errno 2: No such file or directory).
KCSAN                   : write(/sys/kernel/debug/kcsan, on) failed.  (errno 2: No such file or directory).
LRWPANEmulation         : netlink: failed to get family id for nl802154: No such file or directory.  netlink_query_family_id failed.  (errno 2: No such file or directory).
Leak                    : failed to write(kmemleak, "scan=off").  (errno 2: No such file or directory).
NetDevices              : enabled
NetInjection            : tun: can't open /dev/net/tun.  (errno 2: No such file or directory).
NicVF                   : PCI device 0000:00:11.0 is not available.  (errno 2: No such file or directory).
SandboxAndroid          : enabled
SandboxNamespace        : enabled
SandboxSetuid           : enabled
Swap                    : enabled
USBEmulation            : failed to chmod /dev/raw-gadget.  (errno 2: No such file or directory).
VhciInjection           : socket(AF_BLUETOOTH, SOCK_RAW, BTPROTO_HCI) failed.  (errno 97: Address family not supported by protocol).
WifiEmulation           : netlink_query_family_id failed.  (errno 2: No such file or directory).
syscalls                : 2193/4499

2024/10/05 19:42:54 corpus                  : 29 (0 broken, 29 seeds)
2024/10/05 19:42:59 candidates=0 corpus=29 coverage=14223 exec total=887 (29/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 19:43:09 candidates=0 corpus=37 coverage=14538 exec total=1182 (29/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 19:43:19 candidates=0 corpus=44 coverage=14788 exec total=1571 (31/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 19:43:29 candidates=0 corpus=53 coverage=14943 exec total=2055 (34/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 19:43:39 candidates=0 corpus=83 coverage=15322 exec total=3488 (49/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 19:43:49 candidates=0 corpus=103 coverage=15401 exec total=4133 (51/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 19:43:50 Hit times: 0
2024/10/05 19:43:59 candidates=0 corpus=139 coverage=16123 exec total=5044 (56/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 19:44:09 candidates=0 corpus=184 coverage=16933 exec total=6191 (61/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 19:44:19 candidates=0 corpus=211 coverage=17542 exec total=7065 (64/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 19:44:29 candidates=0 corpus=232 coverage=18966 exec total=7767 (64/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 19:44:39 candidates=0 corpus=236 coverage=19012 exec total=7945 (61/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 19:44:49 candidates=0 corpus=240 coverage=19063 exec total=8094 (57/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 19:44:59 candidates=0 corpus=232 coverage=19063 exec total=8180 (54/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 19:45:09 candidates=0 corpus=243 coverage=19137 exec total=8580 (53/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 19:45:19 candidates=0 corpus=260 coverage=19660 exec total=8940 (52/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 19:45:20 Hit times: 0
2024/10/05 19:45:29 candidates=0 corpus=286 coverage=19787 exec total=10179 (56/sec) fuzzing VMs=1 reproducing=0 
2024/10/05 19:45:39 candidates=0 corpus=319 coverage=20298 exec total=10968 (57/sec) fuzzing VMs=1 reproducing=0 
