n,target function1,target function2,target function3,target function4,target function5,target function6,distance,enable_1_sum,enable_1_len,enable_1_rate,enable_2_sum,enable_2_len,enable_2_rate,enable_3_sum,enable_3_len,enable_3_rate,disable_1_sum,disable_1_len,disable_1_rate,disable_2_sum,disable_2_len,disable_2_rate,disable_3_sum,disable_3_len,disable_3_rate,enable_avg,disable_avg,difference
2,ksys_semctl,ksys_semctl,ksys_semctl,ksys_semctl,ksys_semctl,ksys_semctl,1,2544,18,28.27,1878,13,28.89,1431,9,31.8,437,23,3.8,747,29,5.15,72,13,1.11,29.65,3.35,26.3
4,__sys_setfsgid,__sys_setfsgid,__sys_setfsgid,__sys_setfsgid,__sys_setfsgid,__sys_setfsgid,1,2579,27,19.1,1181,17,13.89,1229,26,9.45,0,16,0.0,4,26,0.03,0,22,0.0,14.15,0.01,14.14
5,do_sched_yield,do_sched_yield,do_sched_yield,do_sched_yield,do_sched_yield,do_sched_yield,1,2389,19,25.15,2106,16,26.32,834,4,41.7,2571,25,20.57,3617,24,30.14,3089,23,26.86,31.06,25.86,5.2
7,vm_acct_memory,vm_acct_memory,vm_acct_memory,vm_acct_memory,vm_acct_memory,vm_acct_memory,2,3402,21,32.4,2882,20,28.82,4598,28,32.84,2876,26,22.12,624,7,17.83,1069,14,15.27,31.35,18.41,12.95
8,__shmem_file_setup,__shmem_file_setup,__shmem_file_setup,__shmem_file_setup,__shmem_file_setup,__shmem_file_setup,2,706,16,8.82,549,15,7.32,703,18,7.81,341,18,3.79,357,11,6.49,616,25,4.93,7.98,5.07,2.91
10,io_register_iowq_max_workers,io_register_iowq_max_workers,io_register_iowq_max_workers,io_register_iowq_max_workers,io_register_iowq_max_workers,io_register_iowq_max_workers,2,2536,23,22.05,1094,14,15.63,1461,16,18.26,97,19,1.02,426,26,3.28,220,17,2.59,18.65,2.3,16.35
11,__anon_inode_getfile,__anon_inode_getfile,__anon_inode_getfile,__anon_inode_getfile,__anon_inode_getfile,__anon_inode_getfile,2,2133,14,30.47,2430,16,30.38,3678,24,30.65,698,14,9.97,1011,17,11.89,1285,22,11.68,30.5,11.18,19.32
12,copy_fsxattr_from_user,copy_fsxattr_from_user,copy_fsxattr_from_user,copy_fsxattr_from_user,copy_fsxattr_from_user,copy_fsxattr_from_user,3,6248,22,56.8,6554,23,56.99,6022,22,54.75,6630,26,51.0,2467,10,49.34,1503,6,50.1,56.18,50.15,6.03
13,__io_uring_add_tctx_node,__io_uring_add_tctx_node,__io_uring_add_tctx_node,__io_uring_add_tctx_node,__io_uring_add_tctx_node,__io_uring_add_tctx_node,3,3422,19,36.02,4022,23,34.97,1540,11,28.0,979,22,8.9,199,15,2.65,1647,28,11.76,33.0,7.77,25.23
14,keyring_ptr_to_key,keyring_ptr_to_key,keyring_ptr_to_key,keyring_ptr_to_key,keyring_ptr_to_key,keyring_ptr_to_key,3,3934,26,30.26,1190,11,21.64,2275,19,23.95,559,17,6.58,186,15,2.48,582,18,6.47,25.28,5.18,20.11
15,mnt_get_writers,mnt_get_writers,mnt_get_writers,mnt_get_writers,mnt_get_writers,mnt_get_writers,3,10409,27,77.1,5133,14,73.33,3772,10,75.44,3042,9,67.6,10338,28,73.84,2403,6,80.1,75.29,73.85,1.44
16,futex_requeue_pi_prepare,futex_requeue_pi_prepare,futex_requeue_pi_prepare,futex_requeue_pi_prepare,futex_requeue_pi_prepare,futex_requeue_pi_prepare,3,97,21,0.92,0,10,0.0,0,13,0.0,265,18,2.94,23,15,0.31,70,7,2.0,0.31,1.75,-1.44
